epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.512,2.04769,2.36024,0.00262,0.53301,0.47844,0.46398,0.25038,1.91799,1.49912,0.00314,0.00055498,0.00055498,0.00055498
2,384.136,1.99142,1.62909,0.00247,0.56218,0.50153,0.49715,0.26501,1.9288,1.39963,0.00319,0.00108866,0.00108866,0.00108866
3,599.033,1.97155,1.47683,0.00243,0.60285,0.51681,0.53451,0.29304,1.86839,1.34256,0.00307,0.00160033,0.00160033,0.00160033
4,807.274,1.959,1.41183,0.0024,0.64417,0.52916,0.56186,0.29716,1.92953,1.26879,0.00321,0.00156798,0.00156798,0.00156798
5,1026.86,1.94789,1.36901,0.00235,0.64664,0.53442,0.56862,0.30904,1.86379,1.26777,0.00303,0.00153497,0.00153497,0.00153497
6,1239.56,1.95405,1.35364,0.00234,0.6515,0.54263,0.5735,0.30885,1.87703,1.26089,0.0031,0.00150197,0.00150197,0.00150197
7,1453.25,1.91926,1.31539,0.00231,0.66956,0.54605,0.58842,0.32465,1.85404,1.2219,0.003,0.00146896,0.00146896,0.00146896
8,1653.42,1.91615,1.30281,0.00231,0.67542,0.5433,0.59539,0.32906,1.85255,1.22081,0.00301,0.00143595,0.00143595,0.00143595
9,1850.17,1.90532,1.27246,0.00228,0.68269,0.56231,0.60378,0.32463,1.8625,1.20882,0.00303,0.00140295,0.00140295,0.00140295
10,2049.3,1.8945,1.25853,0.00228,0.68767,0.5628,0.6116,0.33522,1.83941,1.18928,0.00296,0.00136994,0.00136994,0.00136994
11,2250.6,1.88694,1.24068,0.00223,0.69298,0.56268,0.61069,0.33453,1.84284,1.18021,0.00297,0.00133693,0.00133693,0.00133693
12,2432,1.88155,1.22852,0.00222,0.6976,0.56417,0.61905,0.33833,1.83337,1.17321,0.00294,0.00130393,0.00130393,0.00130393
13,2633.65,1.87552,1.22831,0.00222,0.70676,0.56666,0.61971,0.34224,1.83137,1.14687,0.00296,0.00127092,0.00127092,0.00127092
14,2835.19,1.85688,1.20549,0.00221,0.69897,0.57291,0.62468,0.34894,1.80397,1.16657,0.0029,0.00123791,0.00123791,0.00123791
15,3049.92,1.86722,1.19912,0.00219,0.71104,0.57278,0.62717,0.35011,1.79927,1.14354,0.00288,0.00120491,0.00120491,0.00120491
16,3279.64,1.8487,1.18874,0.00218,0.70984,0.58672,0.63953,0.35759,1.78105,1.13286,0.0028,0.0011719,0.0011719,0.0011719
17,3467.48,1.85313,1.18681,0.00217,0.70808,0.58767,0.63663,0.35238,1.81184,1.12825,0.00292,0.00113889,0.00113889,0.00113889
18,3665.65,1.83582,1.16895,0.00216,0.71338,0.58521,0.63687,0.3544,1.79243,1.14392,0.00286,0.00110589,0.00110589,0.00110589
19,3910.86,1.82879,1.165,0.00215,0.70611,0.58725,0.63965,0.35212,1.81465,1.13503,0.00294,0.00107288,0.00107288,0.00107288
