epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.0437,2.47829,2.32461,0.00351,0.86349,0.34046,0.41268,0.13205,1.46318,2.52724,0.00458,0.00055498,0.00055498,0.00055498
2,164.038,2.4076,1.70051,0.00317,0.82826,0.5,0.42872,0.19882,1.37051,2.5955,0.00417,0.00108866,0.00108866,0.00108866
3,242.653,2.36804,1.57373,0.00309,0.90531,0.25,0.35911,0.12196,1.92061,2.24432,0.00621,0.00160033,0.00160033,0.00160033
4,322.702,2.36566,1.52482,0.00305,0.87909,0.5,0.97,0.33536,1.26121,2.00609,0.00536,0.00156798,0.00156798,0.00156798
5,425.664,2.33701,1.48415,0.00301,0.93398,0.375,0.41911,0.18787,1.78501,2.25246,0.00623,0.00153497,0.00153497,0.00153497
6,507.716,2.31557,1.45187,0.00294,0.95949,0.25,0.36717,0.17705,2.03752,1.79687,0.00857,0.00150197,0.00150197,0.00150197
7,613.045,2.28823,1.42169,0.0029,0.97387,0.375,0.50542,0.26098,1.72833,1.80871,0.00575,0.00146896,0.00146896,0.00146896
8,695.068,2.29009,1.40986,0.00288,0.85284,0.375,0.50325,0.18816,1.50995,2.45072,0.00477,0.00143595,0.00143595,0.00143595
9,802.428,2.28103,1.39912,0.00285,0.78748,0.375,0.50304,0.23669,1.29137,2.70394,0.00528,0.00140295,0.00140295,0.00140295
10,909.368,2.24905,1.36945,0.00282,1,0.3478,0.65458,0.19789,1.69964,2.28812,0.0067,0.00136994,0.00136994,0.00136994
11,992.658,2.24396,1.36122,0.00279,0.96362,0.25,0.39498,0.13625,1.87105,2.08339,0.00745,0.00133693,0.00133693,0.00133693
12,1101.26,2.24872,1.36029,0.00276,0.98206,0.375,0.53875,0.19534,1.98135,1.91851,0.00725,0.00130393,0.00130393,0.00130393
13,1212.62,2.23259,1.34629,0.00276,0.95839,0.25,0.42091,0.21069,2.01343,1.54868,0.00841,0.00127092,0.00127092,0.00127092
14,1294.1,2.21201,1.33577,0.00274,0.89681,0.48407,0.547,0.17449,2.08058,1.83515,0.00752,0.00123791,0.00123791,0.00123791
